0,age,weight,exercise_time
899,31,183,162
900,32,129,73
901,23,182,180
902,22,115,147
903,23,199,79
904,35,186,12
905,19,204,67
906,18,102,224
907,67,134,219
908,41,196,55
909,25,117,249
910,55,132,285
911,79,100,46
912,73,173,12
913,69,153,159
914,40,185,113
915,41,125,211
916,72,140,60
917,56,150,256
918,22,191,156
919,31,181,122
920,63,176,5
921,71,159,149
922,76,218,6
923,45,104,10
924,71,181,121
925,52,107,261
926,57,156,218
927,80,206,19
928,62,211,10
929,76,193,140
930,44,135,163
931,28,130,243
932,55,154,240
933,31,138,244
934,32,117,36
935,27,113,254
936,39,137,179
937,62,224,26
938,28,128,294
939,57,216,25
940,39,203,96
941,22,135,90
942,75,163,101
943,63,137,236
944,26,147,65
945,30,147,212
946,47,140,47
947,77,168,20
948,68,210,93
949,26,141,266
950,30,112,33
951,41,110,101
952,32,159,147
953,73,108,154
954,37,103,93
955,41,121,229
956,50,134,267
957,54,145,282
958,36,126,98
959,23,164,238
960,33,148,292
961,78,153,96
962,79,117,110
963,38,116,37
964,33,144,170
965,63,100,196
966,22,132,143
967,56,164,239
968,74,182,93
969,70,125,180
970,59,182,17
971,49,152,277
972,79,113,16
973,19,158,247
974,67,136,165
975,51,127,245
976,32,169,141
977,48,194,13
978,45,125,259
979,67,230,10
980,20,107,158
981,29,109,235
982,48,160,54
983,19,119,216
984,63,197,148
985,57,182,110
986,41,160,101
987,37,113,273
988,23,108,126
989,62,120,212
990,69,126,191
991,66,134,123
992,42,120,265
993,21,136,234
994,23,125,114
995,67,134,63
996,72,230,2
997,57,198,144
998,41,242,1
999,35,231,46
1000,62,131,228
1001,41,124,161
1002,19,157,170
1003,24,153,240
1004,37,101,164
1005,64,212,31
1006,68,147,21
1007,52,125,148
1008,68,127,220
1009,69,150,141
1010,67,165,39
1011,73,178,82
1012,38,157,115
1013,42,116,252
1014,73,218,51
1015,61,141,17
1016,21,216,101
1017,51,144,278
1018,72,198,81
1019,54,113,150
1020,47,122,83
1021,44,128,182
1022,47,211,94
1023,56,205,99
1024,47,116,268
1025,56,125,270
1026,19,123,211
1027,22,104,229
1028,73,181,64
1029,52,121,113
1030,51,100,286
1031,30,110,66
1032,32,217,19
1033,47,163,120
1034,38,122,88
1035,51,193,13
1036,27,182,148
1037,56,166,122
1038,75,102,129
1039,54,129,234
1040,76,185,103
1041,27,105,296
1042,40,108,288
1043,38,209,34
1044,58,134,300
1045,18,148,182
1046,66,241,21
1047,33,165,41
1048,26,155,204
1049,59,156,236
1050,75,138,89
1051,30,156,84
1052,71,182,42
1053,68,214,21
1054,56,152,112
1055,30,133,7
1056,23,190,30
1057,63,199,74
1058,58,117,23
1059,29,164,197
1060,60,132,215
1061,37,179,171
1062,74,102,24
1063,52,167,59
1064,70,111,138
1065,52,105,299
1066,37,126,270
1067,76,152,19
1068,22,145,91
1069,37,188,42
1070,22,165,207
1071,23,124,117
1072,76,212,78
1073,60,203,75
1074,76,129,96
1075,80,182,15
1076,58,185,176
1077,24,194,141
1078,23,119,28
1079,54,169,231
1080,18,140,63
1081,38,199,87
1082,62,189,14
1083,75,139,88
1084,28,147,83
1085,35,120,130
1086,74,219,67
1087,73,112,136
1088,68,104,93
1089,69,186,44
1090,73,124,117
1091,59,100,264
1092,76,110,89
1093,44,212,55
1094,33,186,30
1095,19,204,53
1096,59,100,2
1097,28,123,226
1098,33,135,224
1099,49,113,254
1100,39,116,162
1101,80,153,26
1102,69,109,197
1103,37,189,27
1104,70,104,36
1105,30,175,139
1106,42,160,247
1107,68,183,103
1108,18,116,199
1109,35,157,281
1110,47,150,147
1111,62,107,125
1112,58,144,89
1113,55,212,91
1114,76,212,67
1115,40,122,296
1116,63,144,1
1117,50,183,174
1118,64,184,14
1119,65,145,87
1120,39,170,80
1121,27,208,22
1122,69,123,8
1123,52,163,16
1124,67,174,97
1125,19,200,59
1126,24,101,300
1127,55,117,251
1128,71,181,106
1129,55,192,6
1130,20,141,226
1131,52,172,74
1132,40,149,284
1133,23,143,226
1134,73,178,84
1135,36,160,33
1136,31,120,296
1137,63,227,33
1138,34,126,201
1139,46,139,160
1140,19,158,102
1141,67,131,171
1142,46,103,284
1143,77,148,21
1144,55,121,194
1145,29,113,188
1146,44,172,111
1147,19,163,182
1148,19,136,192
1149,52,204,89
1150,46,180,183
1151,33,210,121
1152,48,170,161
1153,80,130,51
1154,66,113,66
1155,51,102,136
1156,22,158,196
1157,67,142,77
1158,69,141,155
1159,50,181,24
1160,54,144,298
1161,33,128,221
1162,51,110,121
1163,26,109,117
1164,53,103,276
1165,69,155,143
1166,59,142,6
1167,47,219,55
1168,43,146,189
1169,34,108,298
1170,22,199,102
1171,56,139,158
1172,27,111,252
1173,74,161,142
1174,30,137,244
1175,61,164,86
1176,57,213,103
1177,38,174,103
1178,67,150,118
1179,69,140,184
1180,34,124,147
1181,41,142,18
1182,49,160,256
1183,70,133,198
1184,57,210,27
1185,35,124,48
1186,61,170,30
1187,48,160,125
1188,71,129,21
1189,35,126,201
1190,70,156,104
1191,29,105,174
1192,51,122,194
1193,33,106,112
1194,64,122,184
1195,47,195,1
1196,29,210,22
1197,29,147,15
1198,25,149,185
1199,67,154,84
